date,segment,daily_net_flow,daily_buy,daily_sell,trade_count,cum_net_flow
2024-06-09,Large,32.725300000000004,32.725300000000004,0.0,1,32.725300000000004
2024-09-27,Large,-29.90632,0.0,29.90632,2,2.8189800000000034
2024-09-28,Large,-0.9721199999999999,0.0,0.9721199999999999,3,1.8468600000000035
2024-09-29,Large,-0.8492,0.0,0.8492,1,0.9976600000000035
2024-09-30,Large,-2.34538,0.0,2.34538,4,-1.3477199999999965
2024-10-01,Large,-0.62033,0.0,0.62033,2,-1.9680499999999965
2024-10-02,Large,-0.0036,0.0,0.0036,1,-1.9716499999999966
2024-10-03,Large,-0.12532,0.0,0.12532,1,-2.0969699999999967
2024-10-04,Large,-0.26964,0.0,0.26964,1,-2.3666099999999965
2024-10-07,Large,-2.55196,0.0,2.55196,8,-4.918569999999996
2024-10-20,Large,-1.35966,0.0,1.35966,4,-6.278229999999996
2024-10-23,Large,-1.6195199999999998,0.0,1.6195199999999998,1,-7.897749999999997
2024-10-29,Large,1692.11903,1692.11903,0.0,13,1684.22128
2024-10-30,Large,3720.65319,3770.7731599999997,50.119969999999995,10,5404.87447
2024-10-31,Large,63.29411999999999,126.1258,62.831680000000006,5,5468.168589999999
2024-11-01,Large,9.999998999999999,9.999998999999999,0.0,1,5478.168589
2024-11-02,Large,173.02910000000003,173.02910000000003,0.0,2,5651.197689
2024-11-03,Large,535.33,535.33,0.0,1,6186.527689
2024-11-04,Large,82.8386,102.55,19.7114,5,6269.366289
2024-11-05,Large,1101.72686,1101.72686,0.0,6,7371.093149
2024-11-06,Large,8384.8711,13516.7237,5131.8526,11,15755.964249
2024-11-08,Large,5584.1226,5618.4506,34.328,67,21340.086849
2024-11-09,Large,34481.521579,35765.422239,1283.90066,712,55821.608428
2024-11-10,Large,56712983.702344,60713961.554933995,4000977.85259,492640,56768805.310772
2024-11-11,Large,12279284.134207001,42422366.551777,30143082.41757,250645,69048089.444979
2024-11-12,Large,57799.112567000004,68452.846627,10653.734059999999,641,69105888.557546
2024-11-13,Large,-5322.070371999998,14048.695157999999,19370.76553,202,69100566.487174
2024-11-14,Large,28510.452128,31887.171707999998,3376.7195799999977,141,69129076.939302
2024-11-15,Large,3092.88525,3142.58988,49.70463,28,69132169.824552
2024-11-16,Large,-269.94764999999995,24.75,294.69764999999995,8,69131899.876902
2024-11-17,Large,-15818.70059,98.6886,15917.38919,8,69116081.176312
2024-11-18,Large,-1.26748,0.0,1.26748,3,69116079.908832
2024-11-19,Large,292.0434,311.76099999999997,19.71759999999998,7,69116371.952232
2024-11-20,Large,-304.12962,0.0,304.12962,1,69116067.822612
2024-11-21,Large,-836.98736,0.0,836.98736,2,69115230.835252
2024-11-23,Large,210.66673,210.66673,0.0,1,69115441.501982
2024-11-24,Large,-12999.662499999999,210.779,13210.441499999999,17,69102441.83948201
2024-11-25,Large,-14530.70249,0.0,14530.70249,5,69087911.13699201
2024-11-26,Large,4978.816118,5044.999998,66.18388,3,69092889.95311001
2024-11-28,Large,-53.19212,0.0,53.19212,1,69092836.76099001
2024-11-29,Large,-0.04836000000000001,0.0,0.04836000000000001,1,69092836.71263
2024-12-12,Large,95448792.0,95448792.0,0.0,997250,164541628.71263
2024-12-13,Large,20983.249350000002,20983.356040000002,0.10669000000000001,237,164562611.96198002
2024-12-18,Large,2127989.88,2514439.0439999998,386449.164,29970,166690601.84198
2024-12-19,Large,5683480.83,5872721.4,189240.57,63936,172374082.67198
2024-12-20,Large,1385.1734400000314,691894.1332800001,690508.95984,3996,172375467.84542
2024-12-21,Large,-13476807.138564002,4121510.8475160003,17598317.986080002,27972,158898660.706856
2024-12-22,Large,630617.293458,1355010.734898,724393.44144,25974,159529278.000314
2024-12-23,Large,-2118257.426196,39959.99600399999,2158217.4222,9990,157411020.574118
2024-12-24,Large,69164202.979584,69661803.640824,497600.66124,319680,226575223.553702
2024-12-25,Large,-1428704.829286,535820.748894,1964525.57818,41959,225146518.724416
2024-12-26,Large,107162359.26513201,110760643.24991201,3598283.98478,649388,332308877.989548
2024-12-27,Large,158812293.07853,158813067.30707002,774.22854,1708939,491121171.06807804
2024-12-28,Large,28055.00732,28633.45378,578.44646,370,491149226.075398
2024-12-29,Large,4858.21348,4913.2180499999995,55.004569999999994,104,491154084.288878
2024-12-30,Large,-35.164500000000004,0.0,35.164500000000004,1,491154049.124378
2024-12-31,Large,1664.46288,1664.46288,0.0,96,491155713.58725804
2025-01-01,Large,6867.4299200000005,6867.68663,0.25671,129,491162581.01717806
2025-01-02,Large,12842.26036,12966.79575,124.53539,95,491175423.27753806
2025-01-03,Large,8214.908689999998,8295.270689999998,80.362,63,491183638.18622804
2025-10-18,Large,63.527598999999995,63.527598999999995,0.0,3,491183701.713827
2025-10-27,Large,226.26,226.26,0.0,2,491183927.97382706
2025-10-30,Large,87.22,87.22,0.0,1,491184015.19382703
2025-11-05,Large,717.4169979999999,727.079398,9.6624,10,491184732.61082506
2025-11-06,Large,384.0109,384.0109,0.0,2,491185116.621725
2025-11-10,Large,-23.0,0.0,23.0,1,491185093.621725
2025-11-12,Large,39.922399999999996,40.576499999999996,0.6540999999999999,4,491185133.544125
2025-11-15,Large,-5.3273,0.0,5.3273,1,491185128.21682507
2025-11-19,Large,20.8134,20.8134,0.0,1,491185149.03022504
2024-06-05,Medium,470.9,470.9,0.0,5,470.9
2024-06-06,Medium,4333.554398,4358.354398,24.800000000000004,14,4804.454398
2024-06-07,Medium,9356.028627,11055.398587,1699.36996,53,14160.483025
2024-06-08,Medium,-409.535594,243.089206,652.6248,14,13750.947430999999
2024-06-09,Medium,468.364148,565.396998,97.03285,19,14219.311579
2024-06-10,Medium,8253.870848,8635.527178,381.65632999999997,38,22473.182427
2024-06-11,Medium,-859.085121,713.809139,1572.89426,30,21614.097306
2024-06-12,Medium,32226.949478,32249.396507999998,22.447029999999845,38,53841.046784
2024-06-13,Medium,3808.638195,3835.772595,27.1344,27,57649.684979
2024-06-18,Medium,6661.197384,6712.055734,50.858349999999895,36,64310.882363
2024-06-19,Medium,53.946000000000005,53.946000000000005,0.0,2,64364.828363
