segment,num_users,pct_of_total,total_buy_avg,total_buy_median,total_buy_max,total_buy_sum,total_sell_avg,total_sell_max,total_sell_sum,net_amount_avg,net_amount_median,net_amount_min,net_amount_max,net_amount_sum,num_trades_avg,num_trades_median,num_trades_min,num_trades_max,num_trades_sum,num_markets_avg,num_markets_max,total_volume_avg,total_volume_sum
Small,2711,50.0,5.858373096274436,1.469555,47.799998,15882.049463999996,2.346666370343047,48.66693,6361.81253,3.5117067259313894,0.45999,-48.66693,47.799998,9520.236933999997,4.787901143489488,2.0,1,1998,12980,1.1615639985245296,11,8.205039466617484,22243.861994
Medium,2169,40.00368867576539,56929.393515873206,2493.94612,379144.9999999999,123479854.53592898,3658.385149243891,189240.57,7935037.38871,53271.00836662931,1898.0999999999997,-139912.10697999998,379144.9999999999,115544817.14721896,2014.964038727524,1998.0,1,23976,4370457,1.2452743199631169,18,60587.77866511709,131414891.92463896
Large,542,9.9963113242346,1020708.0126664484,765408.8640000001,35394385.54501799,553223742.8652151,114462.35024905905,12345925.69813,62038593.83499,906245.6624173892,761629.7678399999,-11408549.619820002,23048459.846887987,491185149.03022504,8533.929889298894,6000.0,1998,147087,4625390,1.3025830258302582,21,1135170.3629155075,615262336.7002051
