user_id,total_buy,total_sell,net_amount,num_trades,num_markets
0x02dda377bf4159f67e9d2f10d76299f787e4eae6,0.8699989999999957,0.0,0.8699989999999957,1,1
0x02dee5d4f5dd31991fc07e1643fdaa51a2117a65,284.66434000000004,0.0,284.66434000000004,4,1
0x02e6c81aa9e6476a894ae7b164c5564916309aaf,1166492.3400000003,0.0,1166492.3400000003,5994,1
0x02e85ed4a3b1b14956e23a29bb298303d092bf28,193418.38800000004,0.0,193418.38800000004,1998,1
0x02fe323488dea3ed1f400482ace7dff27c66d87a,4.999998000000001,0.0,4.999998000000001,1,1
0x030b13ea9d6f9df43c4bd0a0131126f0aeb0e8df,53.829898,53.5049,0.3249980000000008,2,1
0x030f2317c4bae3e5694d4cd3aeb2672969d110db,1.2797189999999998,0.0,1.2797189999999998,1,1
0x031698633316a2c4c09cba67ef88a2c351da0226,0.19999799999999998,0.0,0.19999799999999998,1,1
0x0319fae6d50dd334e0f9fc888ba7d50ba123fa8d,0.0,10.156,-10.156,3,2
0x032349e4c17fdc64287fca118c1c110c94dba026,0.0,0.036000000000000004,-0.036000000000000004,1,1
0x032d63bc72a9d6fee627452acc5b707f988fede2,49734.21599999999,0.0,49734.21599999999,13986,1
0x0343d081ffa5c136ebe8be7f65109e74f1a5fe31,19.986,0.0,19.986,3,1
0x0345d686a35275a81ef7901d8977d83ab48a08be,568291.1399999999,0.0,568291.1399999999,5994,1
0x034f01fea926e4a2ce539c2a6c699dc2bcddf8b4,301.44864,316.04358,-14.594940000000008,3,1
0x03840968649d45d0173405c6e924a6711c72d4ef,2223.21456,0.0,2223.21456,1,1
0x0388d846dec321dbf89f757d3a2337cbd7554b9b,0.6599989999999987,0.0,0.6599989999999987,1,1
0x038d49ef43b07771ceec94eb93e4c4b4ff6c01d5,1997.9440559999994,0.99485,1996.9492059999993,1999,1
0x038fb10470766a785f1b815eb5519a2dd248cabf,0.0,0.996,-0.996,1,1
0x039763581210ca7bfa63aa28d32775d3376779d5,143575.35384,0.0,143575.35384,2000,1
0x03983ad0f5e1113870d92ed2403097c4c5642ccc,143764.87884000002,0.0,143764.87884000002,2002,1
0x03988c52391682985817b32af71cd21035471ed4,0.999999,0.0,0.999999,1,1
0x03a2447f432de95d3dfa7b4f0bd2dcf7ef6e83a1,5673.648999999999,0.0,5673.648999999999,2,1
0x03a5222b721e53b579499f2ecd65be3b573a322e,2.0699979999999996,0.0,2.0699979999999996,1,1
0x03a9420819c5c894104bd8277e0d74e1520aa0a5,1889176.6500000004,0.0,1889176.6500000004,19986,1
0x03b18d9b49f8047b0e5be406de93f7273fa764a2,98.999998,0.0,98.999998,1,1
0x03cdb2be92f4c495cee888746b700b6e4fbd0e5d,1.0050000000000001,0.0,1.0050000000000001,1,1
0x03cdc8fb6c728328db647878664ea83d525f0691,0.0,0.065,-0.065,1,1
0x03f36680b5cd98ec5e5cd532fb8668c3c8cf5779,5686.604,27.916,5658.688,2,1
0x0404509fcafaaaffce316fe7e224a0ca73e64d23,279.58901000000003,0.0,279.58901000000003,4,1
0x040e57ebde92cc34ea4d4c7b35a89e0843fa0f36,59335.1894,0.0,59335.1894,8000,1
0x041fd5cc0932bb14be38d61652338b6a328ff2c1,35524.43999999999,0.0,35524.43999999999,9990,1
0x0434bf2506551d642397c4c8ce6f2f927df07f84,50.179998,50.128679999999996,0.05131800000000197,2,1
0x04536498f4c252a008720f3edf0b0ee5fb4140c3,379144.9999999999,0.0,379144.9999999999,3999,1
0x0453876c70f6f07fffde01573a2eebcd487a2f7e,9.0,0.0,9.0,2,2
0x045541f8cd63f006bc9ce6c47e370f1bef2f421e,300.46923,300.16846,0.30077,2,1
0x0459abc4ac9d58f93aa2dbdafc171451c94bd44e,0.019998000000000002,0.0,0.019998000000000002,2,2
0x0466d9ecca4f6440bc3ab09deb8bca5641f9029f,0.44997899999999996,0.44685,0.0031289999999999374,2,1
0x0469a1d12bd7a0842b271977c1c5666d744cc2e0,0.299996,0.0,0.299996,1,1
0x046db288c74bb3749860aeb594ed1f5305f14bb4,9.999998999999999,0.0,9.999998999999999,1,1
0x047cdf5c03804396da535ad91f23c1760cb75306,0.9999999999999913,0.0,0.9999999999999913,1,1
0x0480dcec491b048a4644e8123ca3cccb9bba0142,5734.527,0.0,5734.527,2,1
0x0486ccdb7705c2803489dd48750ddd857d1958e5,3995.960040000001,0.0,3995.960040000001,1998,1
0x0487753ca0fe3fb4407337cf5bdfb0b634be1cba,0.20999999999999927,0.04131999999999802,0.16868000000000125,2,1
0x049309756aaf06edb706a1df5b99a7fa1b442d20,39.790000000000006,0.0,39.790000000000006,5,2
0x04a4cfa1401c6c2ace9603729a48378e7a283a7f,52.509437999999996,52.45488,0.054557999999993,2,1
0x04bd15e9e8d3bc0811cdba2c901ee0d732167ab8,27.54243,27.48729,0.05513999999999797,2,1
0x04bef81d8f672d22cd9be3aae47baedb3b97af5d,13.5,13.48354,0.016460000000000363,2,1
0x04c712dd3838723786030715cddc61e86a186c52,0.0,0.986,-0.986,1,1
0x04e8f1aee4ffbae3fff8b6af3fe84273425bf091,28440.88799999999,0.0,28440.88799999999,7998,1
0x0511e98a886a9350aba3183a4190408d100d6b30,1.0,0.5,0.5,2,1
0x05363d94cb418f1da97fd8c1db8d3d61c069536c,190165.16115999996,0.0,190165.16115999996,2006,1
0x0538e5bf9c5d995a5b14e42cd1c9245aa6fde384,10.889999999999853,3.66232,7.227679999999854,3,1
0x0548b20f1d193eff999949df312a20cb4a1d4521,1997.8881119999996,0.0,1997.8881119999996,1998,1
0x0557c51c7df3ae271f31674b19b66a94b61a7090,9.96,0.0,9.96,1,1
0x056f8df676e867454417d7feefc06bfa9b1a2e46,11.40568,11.39424,0.011440000000000339,2,1
0x0583329e6083d3a4225df3208b7495d8022c7bdb,0.05994,0.0,0.05994,1,1
0x0599c08ea443056fcd341ca0ef2b36accb5963d0,1997.9960039999996,0.0,1997.9960039999996,1998,1
0x05a9267ab462bacba7ae9828d3d54c871cb4756f,1944153.9000000008,0.0,1944153.9000000008,9990,1
0x05aa56ddd62965840ff6aae6e5b00d003deaef03,1.2099989999999998,1.1505,0.05949899999999975,2,1
0x05ad38ebe52f42517719d67b6660ab8e138547a3,0.0,0.336,-0.336,1,1
0x05b177327cfa7e24420354116d3794f416b251c7,0.0,7.872,-7.872,1,1
0x05be37c24de9c54f239fb19812fc8068c8cbc3a4,50.779998,50.72628,0.05371799999999638,2,1
