17:02:04 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 330 batches, 165000 trades so far
17:02:07 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 340 batches, 170000 trades so far
17:02:10 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 350 batches, 175000 trades so far
17:02:12 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 360 batches, 180000 trades so far
17:02:14 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 370 batches, 185000 trades so far
17:02:16 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 380 batches, 190000 trades so far
17:02:23 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 390 batches, 195000 trades so far
17:02:25 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 400 batches, 200000 trades so far
17:02:28 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 410 batches, 205000 trades so far
17:02:30 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 420 batches, 210000 trades so far
17:02:32 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 430 batches, 215000 trades so far
17:02:35 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 440 batches, 220000 trades so far
17:02:37 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 450 batches, 225000 trades so far
17:02:39 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 460 batches, 230000 trades so far
17:02:41 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 470 batches, 235000 trades so far
17:02:44 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 480 batches, 240000 trades so far
17:02:47 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 490 batches, 245000 trades so far
17:02:49 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 500 batches, 250000 trades so far
17:02:52 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 510 batches, 255000 trades so far
17:02:54 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 520 batches, 260000 trades so far
17:02:56 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 530 batches, 265000 trades so far
17:02:58 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 540 batches, 270000 trades so far
17:03:01 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 550 batches, 275000 trades so far
